wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59247	-34.5903	-38.4645	-40.3723	-45.1082	-48.8303	-45.539	-43.979	-38.4779
1.59246	-34.1356	-37.9012	-41.7015	-46.3657	-50.7601	-47.7603	-49.0199	-40.0799
1.59245	-34.2345	-37.9415	-44.1194	-47.9073	-52.186	-50.6754	-63.4229	-41.5545
1.59244	-34.9065	-38.5825	-48.5179	-48.635	-51.6659	-51.5189	-53.3946	-42.0057
1.59243	-36.2478	-39.8762	-57.4947	-47.4173	-49.9163	-48.6756	-46.7495	-41.1328
1.59242	-38.4831	-41.898	-51.5916	-45.2347	-48.3737	-45.7487	-43.6407	-39.7483
1.59241	-42.0972	-44.4725	-45.2577	-43.2616	-47.5234	-43.7354	-41.9987	-38.5298
1.5924	-47.4743	-45.9266	-41.8328	-41.8249	-47.4905	-42.5457	-41.2823	-37.6985
1.59239	-46.6789	-44.2119	-39.7674	-40.9501	-48.4346	-42.0652	-41.3017	-37.288
1.59238	-41.5143	-41.5563	-38.5612	-40.6246	-50.8018	-42.258	-42.0132	-37.287
1.59238	-38.222	-39.485	-38.016	-40.864	-56.2269	-43.1761	-43.4731	-37.6801
1.59237	-36.2262	-38.1291	-38.0607	-41.7412	-75.4507	-44.9947	-45.8299	-38.4535
1.59236	-35.101	-37.4053	-38.7051	-43.4363	-53.5545	-48.106	-49.1595	-39.58
1.59235	-34.6572	-37.2529	-40.0471	-46.3867	-47.6563	-52.8169	-51.7386	-40.9743
1.59234	-34.8236	-37.6558	-42.3421	-51.8943	-44.2642	-52.9108	-49.7887	-42.3927
1.59233	-35.6011	-38.6399	-46.2872	-60.0715	-42.0809	-47.8476	-46.7467	-43.349
1.59232	-37.0372	-40.2575	-54.9347	-50.5878	-40.6943	-44.3189	-44.6616	-43.4071
1.59231	-39.1409	-42.4797	-57.4736	-45.5142	-39.9378	-42.0904	-43.5043	-42.7328
1.5923	-41.3775	-44.6311	-47.4133	-42.6836	-39.7516	-40.7442	-43.1283	-41.838
1.59229	-41.6389	-44.6901	-43.3586	-41.0298	-40.1475	-40.0809	-43.48	-41.0515
1.59228	-39.4309	-42.6534	-41.1565	-40.19	-41.2142	-40.022	-44.607	-40.4754
1.59227	-37.009	-40.5502	-39.9932	-40.0324	-43.1669	-40.5707	-46.6856	-40.0976
1.59227	-35.2071	-39.0678	-39.5866	-40.5462	-46.4815	-41.8164	-50.0569	-39.8606
1.59226	-34.0603	-38.2462	-39.8304	-41.8335	-51.6905	-43.993	-54.2633	-39.6943
1.59225	-33.5061	-38.0495	-40.6948	-44.1898	-51.1792	-47.6708	-53.0009	-39.539
1.59224	-33.5126	-38.4786	-42.1561	-48.4466	-45.5824	-53.9572	-48.8567	-39.3658
1.59223	-34.0968	-39.5988	-43.9952	-57.1653	-41.8989	-53.2835	-46.061	-39.184
1.59222	-35.3386	-41.5657	-45.241	-52.4377	-39.529	-47.0753	-44.4344	-39.0333
